title,company,location,description,salary,url,date_posted
Software Engineer I,ESPN,"San Francisco, CA","Disney Entertainment & ESPN Product & TechnologyTechnology is at the heart of Disney’s past, present, and future. Disney Entertainment and ESPN Product & Technology is a global organization of engineers, product developers, designers, technologists, data scientists, and more – all working to build and advance the technological backbone for Disney’s media business globally.The team marries technology with creativity to build world-class products, enhance storytelling, and drive velocity, innovation, and scalability for our businesses. We are Storytellers and Innovators. Creators and Builders. Entertainers and Engineers. We work with every part of The Walt Disney Company’s media portfolio to advance the technological foundation and consumer media touch points serving millions of people around the world.Here are a few reasons why we think you’d love working here:Building the future of Disney’s media:Our Technologists are designing and building the products and platforms that will power our media, advertising, and distribution businesses for years to come.Reach, Scale & Impact:More than ever, Disney’s technology and products serve as a signature doorway for fans' connections with the company’s brands and stories. Disney+. Hulu. ESPN. ABC. ABC News…and many more. These products and brands – and the unmatched stories, storytellers, and events they carry – matter to millions of people globally.Innovation:We develop and implement groundbreaking products and techniques that shape industry norms and solve complex and distinctive technical problems.Product Engineering is a unified team responsible for the engineering of Disney Entertainment & ESPN digital and streaming products and platforms. This includes product engineering, media engineering, quality assurance, engineering behind personalization, commerce, lifecycle, and identity.Job SummaryAs part of the Living Room Devices, Roku Client Application Engineering Team, you will help us push the boundaries of what is possible on some of the most interesting 10-foot devices in the marketplace! You’ll be part of the team that builds our Disney+ Direct-to-Consumer client app for streaming Disney, Pixar, Marvel, Star Wars, Hulu, ESPN, NatGeo, and ABC News content from one of the most popular streaming devices on the market.We’re seeking a Software Engineer I for the Roku Client Application Engineering Team, where you’ll be part of the team that builds our Disney+ Direct-to-Consumer client app on Roku streaming devices and smart TVs. We’re looking for an engineer who has educational experience, work experience, or personal project time developing software, and is ready to help develop client apps that provide the best experiences for our viewers. Ideal technology stacks would include front-end technologies, such as Roku BrightScript & SceneGraph, React, Angular, or similar technologies.Responsibilities And Duties Of The RoleBe a member of a team of engineers responsible for building our client app experiences in BrightScript, using the Roku SceneGraph SDKContribute to the development of new application features from on-boarding to browse UI/UX experiences, analytics, video playback UI/UX and much more. If you see it on screen, you’ll likely have a chance to work on it in codeHave the opportunity to contribute to the development of tools and systems outside of the Roku apps, such as JavaScript- & React-based web tools, gulp build scripts, AWS configurations, and Node.js servicesWork with Roku to vet new hardware, firmware and certification requirements from a client application perspectiveCollaborate closely with our client SDK engineering, design engineering, services engineering teams and product owners to help understand and communicate requirements and device limitationsBasic QualificationsExperience working on user interface-level code and knowledge of common patterns and architectures (MVVM, MVC, React, etc.), and approaches to present a data-driven UX to viewersFamiliarity with development and troubleshooting, preferably on set-top boxes or Smart TVsUnder the guidance of more senior engineers, candidates will be expected to become proficient in the use of reusable utilities and UI components, and generalized logic that can be consumed by multiple applicationsPreferred QualificationsExperience creating beautiful, rich, performant user interfaces, including implementing pixel-perfect designs and animationsExperience working on a range of devices with varying performance and capabilitiesExperience with configuration-driven developmentExperience with performance optimization and feature degradation techniquesExperience creating and extending templated controls, and writing custom controlsExperience with asynchronous and concurrent codeExperience with unit testing and related patternsExperience with JavaScript client- and server-side developmentExperience with DevOps, gulp scripts, Jenkins and AWSRequired EducationBachelor’s degree in Computer Science, Information Systems, Software, Electrical or Electronics Engineering, or comparable field of study, and/or equivalent work experienceThe hiring range for this position in Seattle, WA & NYC is $99,900.00 to $133,900.00 and in Glendale/Santa Monica, CA is $95,300-$127,800 and in San Francisco, CA is $104,400.00 to $140,000.00. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-i-at-espn-4243842083?position=1&pageNum=0&refId=dq3m2IcM9%2BIz1lpJ30dy2Q%3D%3D&trackingId=AyCdTVPnzIschRgSlYwD9A%3D%3D,2025-06-03
Frontend Web Developer Internship,PT. Sigma Cipta Caraka (Telkomsigma),"Kota Tangerang Selatan, Banten, Indonesia","Responsibility:Develop an employee profile management page for HR purposesImplement robust form validation and error handling to enhance data integrityIntegrate with backend APIsBuild an approval dashboard to manage updates to employment informationDesign and implemented a workflow approval system to streamline HR processesImprove user experience on existing interfacesApply responsive designConduct cross-browser compatibility testingJob Qualfication:Currently studying at a university or polytechnic, preferably in computer science, information systems, visual communication design, software engineering, or related Diploma/DegreeExperienced in using JavaScript ES6, Vue 3 and Nuxt 3, HTML5, CSS3, responsive design, RESTful API integration, Git version control, UI component libraries (PrimeVue / Buefy)Experienced in state managementFull-time interns for at least 6 months",Salary not specified,https://id.linkedin.com/jobs/view/frontend-web-developer-internship-at-pt-sigma-cipta-caraka-telkomsigma-4240861741?position=1&pageNum=0&refId=WeZRnTiuOFlEe4LMQJyJxQ%3D%3D&trackingId=5FvC7xuYOxBvSC2sqpbZ7A%3D%3D,No date
"Manager, Strategic Intelligence",LinkedIn,"San Francisco, CA","Company DescriptionLinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed.Join us to transform the way the world works.Job DescriptionThis position can be performed in San Francisco or Sunnyvale, depending upon which location the applicant chosen for the role is currently residing.At LinkedIn, our approach to flexible work is centered on trust and optimized for culture, connection, clarity, and the evolving needs of our business. The work location of this role is hybrid, meaning it will be performed both from home and from a LinkedIn office on select days, as determined by the business needs of the team.The Manager, Strategic Intelligence, will be a key member of the Central Operations team within Global Business Organization (GBO). The Central Operations team is made up of operational, policy, and revenue driving teams that are the engine behind LinkedIn’s SaaS and Marketing businesses. They will partner closely with Deal Desk and Pricing leadership, cross GTM Ops teams, and leadership to advise, manage and drive recommendations across priorities as part of GTM Operations. They will build connective tissue across leaders, teams and programs to create leverage, optimize growth and scale the business. As a manager on the team, you will be managing a high-performing team with a strong technical and analytical profile. You will partner with senior leaders and cross-functional partners to understand business needs, find opportunities to innovate at scale, and drive strategic recommendations. You will also coach and inspire your team to evolve current analytical solutions towards predictive and prescriptive insights.Responsibilities:Leverage data analytics to inform strategic decision-making and measure the effectiveness of key business initiatives, ensuring alignment with organizational goals and continuous performance optimization.Lead global data analytics initiatives including solution design, roadmap development, prioritization, and successful implementation;Effectively communicate and develop collaborative relationships with stakeholders to design and implement global solutions to drive productivity and business impact;Create and propose solutions to enable better data integrity, reduce complexity, improve technical quality, simplify processes, and increase productivity;Coach and inspire the team to drive bottoms-up innovation through new tools, analytics and techniques;Lead cross-functional teams on opportunities to achieve common goals;Foster our culture of collaboration, trust, growth mindset and psychological safety.Learn quickly, be agile and proactive, as well as assume ownership for broad tracks and global workstreamsKeep a finger on the pulse of the business to ensure it is operating as successfully as possible, stepping in to help drive improvements as neededGain an in-depth understanding of the SaaS and Marketing businesses, with the ability to understand the big picture and drop into process level details as neededConduct research on industry trends and gather competitive intelligence as input to strategies and recommendationsThis role will travel domestically and internationally as required.QualificationsBasic Qualifications:Bachelor’s degree in Math, Computer Science, Economics, Analytics, Business, Engineering or other quantitative fields, OR equivalent experience6+ years of experience working with data, systems or tools in a business setting, including data management, data science, analytics, business intelligence, operations, engineering, reporting, or consultingExperience using data to develop metrics, assess performance, run exploratory analyses, find improvement areas, and generate recommendations to improve business performanceExperience working with Sales Operations or Order-to-Cash teams (deal desk, pricing, order management, etc.)Experience with major data analytics tools – e.g. Python, Tableau, PowerBI, and SQL2+ years of people management experiencePreferred Qualifications:Proven experience leading data & BI initiatives, including data infrastructure, end-to-end solution design, deployment, process transformation, troubleshooting, and data-driven insightsProven experience managing a large, diverse group of stakeholders and driving global projects independently, including knowledge of systems such as JIRA, ConfluenceProven track record of program management for large, cross-functional, strategic enterprise-wide programsExperience running analytics vendor programs is a plusSuggested Skills:People ManagementData AnalysisSQL or PythonOrder-to-Cash ProcessesLinkedIn is committed to fair and equitable compensation practices.The pay range for this role is $127,000 to $208,000. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, certifications, and specific work location. This may be different in other locations due to differences in the cost of labor.The total compensation package for this position may also include annual performance bonus, stock, benefits and/or other applicable incentive compensation plans. For more information, visit https://careers.linkedin.com/benefits.Additional InformationEqual Opportunity StatementWe seek candidates with a wide range of perspectives and backgrounds and we are proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:Documents in alternate formats or read aloud to youHaving interviews in an accessible locationBeing accompanied by a service dogHaving a sign language interpreter present for the interviewA request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.San Francisco Fair Chance OrdinancePursuant to the San Francisco Fair Chance Ordinance, LinkedIn will consider for employment qualified applicants with arrest and conviction records.Pay Transparency Policy StatementAs a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.Global Data Privacy Notice for Job CandidatesPlease follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal.",Salary not specified,https://www.linkedin.com/jobs/view/manager-strategic-intelligence-at-linkedin-4243036410?position=2&pageNum=0&refId=wCeoKMav1J%2BsOQgF2KMMGg%3D%3D&trackingId=0zg11NWgzPIBdfQp3r9qbg%3D%3D,2025-06-02
Used Car Technician,Downtown Toyota of Oakland,"Oakland, CA","Downtown Toyota of Oakland is looking for experienced Service Technicians to join its growing team. We offer competitive pay and benefits and we are offering a sign-on bonus for the right candidate. What We OfferBonusesMedical, dental, and vision insurancePaid sick timePaid vacation timeFlexible schedule401KDirect depositFree uniformsOpportunities to move into management/leadership positionsService Technician ResponsibilitiesPerform work specified on the repair order with efficiency and in accordance with dealershipTest-drive vehicles, and test components and systems, using diagnostic tools and special service equipmentDiagnose, maintain, and repair vehicle automotive systems including engine, transmission, electrical steering, suspension, brakes, air conditioning, etc.Communicate directly with the Service Advisor so that customers are informed if any additional service is needed. Provide an estimate of time needed for additional repairsExecute repairs under warranty to manufacturer specificationsService Technician Qualifications2+ years of Service Technician experienceToyota CertifiedHigh school diploma or equivalent, ASE Certification requiredB level qualifications, including Diagnostic, Electrical and Engine RepairDexterity, requiring a steady hand, excellent hand-eye coordinationMechanical and troubleshooting skills and ability to operate electronic diagnostic equipmentExcellent customer service skills and basic computer competenciesPositive, friendly attitude, along with an eagerness to improveEnjoy working in a dynamic environmentTeammate with ability to collaborate with others effectivelyAbility to learn new technology, repair and service procedures and specificationsValid driver's license and clean driving recordAbout UsAt Downtown Auto Center, we value our employees and we treat them like family. Each team member can take advantage of our ongoing training programs, advancement opportunities, and progressive culture. We love to develop our employees and promote from within. We want to help your career but we don't want your personal life to take a hit because of it. Daily life at Downtown Auto Center is the best in the business and we're sure you'll see why! When you come to work for us, you can look forward to these added benefits and employee perks! We are an equal opportunity employer and prohibit discrimination/harassment without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",Salary not specified,https://www.linkedin.com/jobs/view/used-car-technician-at-downtown-toyota-of-oakland-4242811150?position=3&pageNum=0&refId=wCeoKMav1J%2BsOQgF2KMMGg%3D%3D&trackingId=hivPcpoMlFXTyV13BtrsMA%3D%3D,2025-06-02
"Content Specialist, People & Places",Uber,"San Francisco, CA","About The RoleAs People Content Specialist, you will contribute to an effortless employee experience by supporting the build-out and day-to-day maintenance of our knowledge base in ServiceNow. In this highly collaborative role, you will work closely with the Knowledge Manager, Content Specialists, Content Owners and Product team to maintain and continuously improve our People information, ensuring it is easily accessible to our 20,000+ employees.What You'll DoManage a backlog of content priorities to ensure content quality, availability, and searchability to promote employee self-service.Support the roll-out of new content with global and regional content owners to ensure we have relevant, high-quality content.Monitor content performance metrics and feedback to prioritize content initiatives.Develop content templates and microsites to enable employee self-service and ensure content stays organized, interactive, searchable, and relevant.Provide training and support to Content Owners, ensuring they have the knowledge, tools, and skills to contribute and maintain engaging content.Participate in the overall efforts aiming at improving the global content management tools, including ServiceNow platform features and be proactive in providing feedback.Basic QualificationsMinimum of 3+ years of experiencePreferred QualificationsKnowledge Management: 3+ years of experience in Knowledge/Content Management or Strategy, Information Architecture, or Communications.ServiceNow experience: 1 to 3 years of relevant experience using ServiceNow for knowledge management (knowledge blocks, knowledgebase management, audience visibility).Intermediate HTML or CSS knowledge to create/edit content templatesAbility to simplify complex content to promote self-service knowledge.Understanding search engine optimization principles to enhance content.Proven stakeholder management experience with strong communication skills both written and verbal.A flexible self-starter with the ability to prioritize and drive projects to completion under tight deadlines.An eye for effective UX / UI and a customer-centric mindset and full commitment to create a positive user experience.Well-developed project management skills.For Chicago, IL-based roles: The base salary range for this role is USD$81,000 per year - USD$90,000 per year. For Dallas, TX-based roles: The base salary range for this role is USD$81,000 per year - USD$90,000 per year. For New York, NY-based roles: The base salary range for this role is USD$90,000 per year - USD$100,000 per year. For San Francisco, CA-based roles: The base salary range for this role is USD$90,000 per year - USD$100,000 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits., For Chicago, IL-based roles: The base salary range for this role is USD$81,000 per year - USD$90,000 per year. For Dallas, TX-based roles: The base salary range for this role is USD$81,000 per year - USD$90,000 per year. For New York, NY-based roles: The base salary range for this role is USD$90,000 per year - USD$100,000 per year. For San Francisco, CA-based roles: The base salary range for this role is USD$90,000 per year - USD$100,000 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits.",Salary not specified,https://www.linkedin.com/jobs/view/content-specialist-people-places-at-uber-4244228488?position=3&pageNum=0&refId=be6Nh%2FCyphY%2FvLJDMw5ZIA%3D%3D&trackingId=VeP90SIe%2BKiA3i6%2F9LCPdA%3D%3D,No date
Software Engineer,Imprint,"San Francisco, CA","Who We AreImprint is reimagining co-branded credit cards & financial products to be smarter, more rewarding, and truly brand-first. We partner with companies like H-E-B, Turkish Airlines, Brooks Brothers, and Eddie Bauer to launch modern credit programs that deepen loyalty, unlock savings, and drive growth. Our platform combines advanced payments infrastructure, intelligent underwriting, and seamless UX to help brands offer powerful financial products—without becoming a bank.Co-branded cards account for over $300 billion in U.S. annual spend—but most are still powered by legacy banks. Imprint is the modern alternative: flexible, tech-forward, and built for today’s consumer. Backed by Kleiner Perkins, Thrive Capital, and Khosla Ventures, we’re building a world-class team to redefine how people pay—and how brands grow. If you want to work fast, solve hard problems, and make a real impact, we’d love to meet you.What You'll DoDesign and develop with engineers, product managers, and designers to deliver world-class experiences for both our customers and our partners.Write scalable and testable code while implementing comprehensive end-to-end testing.Collaborate on architectural planning for new features, services, APIs, and external provider integrations.Contribute innovative ideas to enhance cardholder experiences, boost revenue opportunities, reduce engineering costs, and drive growth in our fast-paced business.Troubleshoot production issues across several micro-services in order to successfully navigate issues that arise during on-call assignments.What We Look ForStrong proficiency in programming languages such as Go (our primary backend language), Java, Python, or similar languagesSolid understanding of software development fundamentals, including data structures, algorithms, and system designProven experience with APIs and database systems like MySQL and DynamoDBExperience with version control systems like Git and collaborative development workflowsStrong problem-solving and analytical skills2–4 years of professional experience in software development with demonstrated growth and impactNice to HaveHands-on experience with cloud platforms such as AWS and GCPKnowledge of containerization and orchestration technologies like Docker and KubernetesUnderstanding of CI/CD pipelinesUnderstanding of security best practices and experience implementing secure coding standardsExperience with micro-services architecture and distributed systemsFamiliarity with monitoring and observability toolsPerks & BenefitsCompetitive compensation and equity packagesLeading configured work computers of your choiceFlexible paid time offFully covered, high-quality healthcare, including fully covered dependent coverageAdditional health coverage includes access to One Medical and the option to enroll in an FSA16 weeks of paid parental leave for the primary caregiver and 8 weeks for all new parentsAn understanding that successful hybrid work requires flexibility and an appreciation for asynchronous workAccess to industry-leading technology across all of our business units, stemming from our philosophy that we should invest in resources for our team that foster innovation, optimization, and productivityImprint is committed to a diverse and inclusive workplace. Imprint is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. Imprint welcomes talented individuals from all backgrounds who want to build the future of payments and rewards. If you are passionate about FinTech and eager to grow, let’s move the world forward, together.Compensation Range: $140K - $160K",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-at-imprint-4244426549?position=3&pageNum=0&refId=Nb6KBzYiOtRsN8Wn6BARYg%3D%3D&trackingId=h4pnc6zGC%2BmErZFS0Qs8GQ%3D%3D,No date
Software Development Engineering (Web) Internship in Pune,Wittypen,"Pune, Maharashtra, India",Selected Intern's Day-to-day ResponsibilitiesWrite clean maintainable codeWork with the team to design and implement new featuresFix bugs and improve existing codeRequirementsCandidate should be based in Pune or nearby locations since this is a full-time in-office internshipUndergraduate degree in Computer Science or related fieldStrong knowledge of object-oriented programming and software design principlesGood knowledge of web technologies including HTML CSS JavaScriptGood knowledge about relational databases and MySQLStrong problem-solving skillsEagerness to learn and growAbout Company: We are on a journey to disrupt the content industry in India. Creating valuable content across domains for companies is giving us a huge reach to users across the globe.,Salary not specified,https://in.linkedin.com/jobs/view/software-development-engineering-web-internship-in-pune-at-wittypen-4244216560?position=1&pageNum=0&refId=aq5TA3NfryYhkYCAu4gkJQ%3D%3D&trackingId=YYCgJ6e4E7ofr9jHhFzqCQ%3D%3D,No date
Firmware Engineer,Bellwether Coffee,"Berkeley, CA","Role: Firmware EngineerDepartment: SoftwareReports To: Director of Software Product Development & QACompensation Range: $135,000 - $200,000 per yearAbout UsHeadquartered in Berkeley, CA, Bellwether Coffee is working to positively transform the coffee industry by making coffee roasting more accessible and sustainable.Our revolutionary electric, ventless, low-emissions commercial coffee roaster does not require gas lines or expensive ventilation. It’s the most consistent and controllable roaster available, the lowest carbon footprint commercial roaster ever made, and was designed by coffee people who want a better future. Our roasting platform allows Bellwether customers to easily and responsibly source green coffee from incredible coffee farms around the world, expertly roast using artisan-crafted roast profiles, and share fresh, delicious coffee!About This RoleThis role will report to the Director of Software Product Development & QA and be responsible for designing, developing and optimizing firmware for Bellwether Coffee’s Shop Roaster. We are seeking a candidate with expertise in BLDC motor control, PID controllers, UART, I2C, PWM, and embedded software development. This role will collaborate primarily with the Hardware and Software Teams to deliver high-performing, reliable firmware for Bellwether Coffee’s products.LocationThe role requires on-site presence at Bellwether's Berkeley HQ.Primarily ResponsibilitiesDevelop and optimize firmware for BLDC motor control systems, focusing on FOC (Field-Oriented Control), trapezoidal control, and sensorless/sensored algorithms.Implement PID control loops for precise speed, torque, and position control of motors.Design and integrate PWM control techniques (sinusoidal, space vector PWM, six-step commutation, etc.) for efficient motor operation.Work with motor control algorithms such as Field-Oriented Control (FOC), Direct Torque Control (DTC), and sensorless techniques.Develop low-level drivers for motor controllers (STM32, ESP32, TI C2000, NXP, or other MCU families).Implement and debug communication protocols (UART, I2C, SPI, CAN, Modbus, RS485) for motor control systems.Collaborate with hardware teams to integrate motor drivers, MOSFETs, gate drivers, current sensors, and position encoders.Perform tuning and optimization of motor control parameters to improve efficiency, response time, and stability.Utilize control theory and signal processing to enhance motor performance under various load conditions.Conduct real-time debugging using oscilloscopes, logic analyzers, and JTAG/SWD debuggers.Ensure firmware safety and reliability by implementing fault detection, overcurrent/overvoltage protection, and thermal management strategies.Work on OTA (Over-The-Air) firmware updates for embedded motor controllers.QualificationsBachelor’s or Master’s degree in Electrical Engineering, Computer Engineering, Mechatronics, or a related field.3+ years of experience in embedded firmware development for motor control applications.Strong knowledge of BLDC/PMSM motor control techniques (FOC, trapezoidal, sinusoidal, sensorless control, etc.).Experience with PWM control strategies for motor drivers.Proficiency in C/C++ for embedded systems.Hands-on experience with microcontrollers (STM32, NXP, Infineon, etc.) for motor control applications.Strong understanding of PID tuning for speed and torque control.Experience working with gate drivers, current sensors (shunt, Hall-effect), and encoder interfaces (quadrature, resolver, Hall sensors, etc.).Familiarity with control loop tuning, filter design, and real-time embedded processing.Experience with debugging tools such as oscilloscopes, logic analyzers, and motor control software tools (e.g., ST Motor Control Workbench, TI MotorControl SDK).You are authorized to work in the U.SPreferred Skills (Nice to Have):Experience with sensorless control techniques for BLDC/PMSM motors.Knowledge of hardware design for motor control, including power electronics, MOSFETs, and gate drivers.Familiarity with RTOS-based motor control implementations (FreeRTOS, Zephyr, etc.).",Salary not specified,https://www.linkedin.com/jobs/view/firmware-engineer-at-bellwether-coffee-4244216300?position=2&pageNum=0&refId=KChizDSzRKhj99VCAfVdzA%3D%3D&trackingId=QRX2rbEWvLqOVX0l%2FIhk2w%3D%3D,No date
Software Engineer,Facebook,"Burlingame, CA","Meta - ContractSoftware Engineer - Burlingame, CAJob Description:In this role, you will be building distributed systems that are scalable and adaptive to various data acquisition and ground truth data generation processes. We're addressing a variety of technical challenges in the areas of providing high-quality ground truth data that enable the training and evaluation of various ML models, including depth estimation, object detection, scene understanding, 3D reconstruction, SLAM tracking and occlusion modeling.Software Engineer ResponsibilitiesDesign core, backend software componentsConduct design and code reviewsMaintain, analyze and improve efficiency, scalability, and stability of various system infrastructureEstablish self as an owner of a particular component, feature or system with expert end-to-end understandingSuccessfully completes projects at large scope while maintaining a consistent high level of productivityMinimum QualificationsProficient with Python, C/C++ or Hack programming languages,Experience with distributed systems developmentExperience maintaining, analyzing and improving efficiency, scalability, and stability of backend systemsExperience improving quality through thoughtful code reviews, appropriate testing, proper rollout, monitoring, and proactive changesBachelors degree in computer science or equivalentPreferred QualificationsExperience building and shipping high quality work and achieving high reliabilityExperience owning a component or feature a distributed systemExposure to architectural patterns of large scale software applicationsGood to have skills:Experience building and shipping high quality work and achieving high reliabilityExperience owning a component or feature a distributed systemExposure to architectural patterns of large scale software applications",Salary not specified,https://www.linkedin.com/jobs/view/software-engineer-at-facebook-4240432372?position=3&pageNum=0&refId=KChizDSzRKhj99VCAfVdzA%3D%3D&trackingId=3OMAlNhYOTz7ciXUZz3rDg%3D%3D,No date
C++ Developer,Infosys,"Bengaluru East, Karnataka, India","Primary skills:Technology->Open System->C and C++A day in the life of an InfoscionAs part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction.You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain.You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews.You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes.You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!Knowledge of more than one technologyBasics of Architecture and Design fundamentalsKnowledge of Testing toolsKnowledge of agile methodologiesUnderstanding of Project life cycle activities on development and maintenance projectsUnderstanding of one or more Estimation methodologies, Knowledge of Quality processesBasics of business domain to understand the business requirementsAnalytical abilities, Strong Technical Skills, Good communication skillsGood understanding of the technology and domainAbility to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methodsAwareness of latest technologies and trendsExcellent problem solving, analytical and debugging skills",Salary not specified,https://in.linkedin.com/jobs/view/c%2B%2B-developer-at-infosys-4193709613?position=2&pageNum=0&refId=%2FuSuIgEKFg1%2ByGV2nbAWTg%3D%3D&trackingId=zLiCp5mSz%2BdfzAaimiFr4g%3D%3D,No date
